subject,gt_hr,pred_hr,error
subject33,113.379,113.379,0.000
subject34,115.137,115.137,0.000
subject35,116.895,116.895,0.000
subject36,121.289,121.289,0.000
subject37,62.402,63.281,0.879
subject38,111.621,111.621,0.000
subject39,86.133,86.133,0.000
subject40,87.891,87.891,0.000
subject41,99.316,99.316,0.000
subject42,98.438,98.438,0.000
subject43,97.559,97.559,0.000
subject44,79.102,79.102,0.000
subject45,111.621,111.621,0.000
subject46,91.406,91.406,0.000
subject47,105.469,105.469,0.000
subject48,91.406,91.406,0.000
subject49,86.133,86.133,0.000
