subject,gt_hr,pred_hr,error
01-01,65.918,65.918,0.000
01-02,73.828,72.949,-0.879
01-03,76.465,76.025,-0.439
01-04,73.389,72.949,-0.439
01-05,70.312,69.434,-0.879
01-06,69.434,69.434,0.000
02-01,69.434,68.555,-0.879
02-02,80.859,80.859,0.000
02-03,72.510,72.070,-0.439
02-04,70.312,69.873,-0.439
02-05,72.949,74.707,1.758
02-06,68.555,71.191,2.637
03-01,53.613,52.734,-0.879
03-02,57.129,56.250,-0.879
03-03,58.008,58.887,0.879
03-04,56.250,55.811,-0.439
03-05,56.250,56.250,0.000
03-06,55.371,59.766,4.395
04-01,61.523,58.887,-2.637
04-02,65.918,62.402,-3.516
04-03,70.752,69.873,-0.879
04-04,71.631,71.191,-0.439
04-05,67.676,67.676,0.000
04-06,65.918,65.918,0.000
05-01,47.461,89.648,42.188
05-02,55.371,80.859,25.488
05-03,50.537,98.877,48.340
05-04,51.855,70.312,18.457
05-05,50.098,49.219,-0.879
05-06,50.977,101.074,50.098
06-01,64.160,63.281,-0.879
06-03,68.555,68.115,-0.439
06-04,73.828,73.389,-0.439
06-05,64.160,70.312,6.152
06-06,68.555,67.676,-0.879
07-01,126.562,126.562,0.000
07-02,134.033,86.133,-47.900
07-03,126.562,125.684,-0.879
07-04,128.760,84.375,-44.385
07-05,136.230,135.352,-0.879
07-06,133.594,132.715,-0.879
08-01,46.582,46.582,0.000
08-02,60.645,60.645,0.000
08-03,50.537,50.098,-0.439
08-04,50.098,49.658,-0.439
08-05,52.734,51.855,-0.879
08-06,54.492,53.613,-0.879
09-01,45.703,90.527,44.824
09-02,54.492,53.613,-0.879
09-03,47.900,96.240,48.340
09-04,47.900,75.146,27.246
09-05,47.461,47.461,0.000
09-06,49.219,97.559,48.340
10-01,79.102,84.375,5.273
10-02,93.164,101.074,7.910
10-03,71.631,71.191,-0.439
10-04,75.586,74.707,-0.879
10-05,73.828,72.949,-0.879
10-06,79.102,78.223,-0.879
