subject,gt_hr,pred_hr,error
07-01,126.562,125.684,-0.879
07-02,134.033,82.617,-51.416
07-03,126.562,67.676,-58.887
07-04,128.760,65.479,-63.281
07-05,136.230,89.648,-46.582
07-06,133.594,67.676,-65.918
08-01,46.582,46.582,0.000
08-02,60.645,60.645,0.000
08-03,50.537,50.098,-0.439
08-04,50.098,49.658,-0.439
08-05,52.734,51.855,-0.879
08-06,54.492,53.613,-0.879
09-01,45.703,45.703,0.000
09-02,54.492,53.613,-0.879
09-03,47.900,47.461,-0.439
09-04,47.900,47.900,0.000
09-05,47.461,47.461,0.000
09-06,49.219,49.219,0.000
10-01,79.102,84.375,5.273
10-02,93.164,101.074,7.910
10-03,71.631,71.191,-0.439
10-04,75.586,74.707,-0.879
10-05,73.828,72.949,-0.879
10-06,79.102,78.223,-0.879
